자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,ST_PARK,SCORE
강남구,대치2동,0.14735460863335717,0.14877496532091414,0.4511060105430424,0.4158909822026957,0.2377538829151733,0.4000000000000001,0.03898050974512743,0.047619047619047616,1.8398609593603104
도봉구,방학3동,0.1670873610603158,0.16881897859228034,0.3385375942694277,0.33524461985255793,0.3906810035842293,0.4000000000000001,0.03898050974512743,0.04793086551739498,1.8393500671039387
양천구,목1동,0.0638446383300635,0.0643547611212699,0.29581052790879514,0.08801846749571822,0.8876941457586619,0.4000000000000001,0.03898050974512743,0.003519087709920264,1.8387030503596362
관악구,조원동,0.1689409568194731,0.16982282661959366,0.26546775291951474,0.17216471814729317,0.6224611708482676,0.4000000000000001,0.03898050974512743,0.02993451824134705,1.8378379350992697
동대문구,답십리2동,0.11015460576827582,0.11135427352296867,0.3472141650061796,0.18713232556407774,0.6427718040621265,0.4000000000000001,0.03898050974512743,0.015590894917368255,1.8376076836687558
금천구,시흥2동,0.09714722487228436,0.0981751283718611,0.37079728604938583,0.220195100156378,0.6057347670250895,0.4000000000000001,0.03898050974512743,0.059067219029800874,1.8310300162201265
강동구,암사1동,0.08187563022191698,0.08285602200453487,0.42043534189219867,0.34388264204333907,0.45878136200716846,0.4000000000000001,0.03898050974512743,0.04467905029177246,1.8268115079142857
중구,을지로동,0.05979695050374867,0.06051326194040751,0.248038943677958,0.19696179909151837,0.42174432497013137,0.8,0.03898050974512743,0.013630896699184818,1.8260357899288913
성북구,길음1동,0.1474888695125658,0.1484094665403373,0.30494110525386536,0.20321691860898058,0.5806451612903225,0.4000000000000001,0.03898050974512743,0.04049178137110784,1.823682030951199
관악구,서원동,0.14548173267718797,0.14707031086585587,0.346558377683053,0.32951076029488424,0.4145758661887694,0.4000000000000001,0.03898050974512743,0.09243173415296896,1.822177557454878
양천구,목2동,0.19233544169682298,0.19251254341210491,0.35863999798219287,0.4436666914885696,0.1923536439665472,0.4000000000000001,0.03898050974512743,0.003029088155374404,1.8184888282913652
은평구,응암3동,0.16492611243177913,0.16608373363349094,0.3503669886750574,0.2729912875121007,0.42413381123058536,0.4000000000000001,0.03898050974512743,0.01665998485455922,1.8174824432281411
종로구,창신2동,0.09022160531514908,0.09089255035381003,0.21857895931596338,0.14304862610767743,0.8351254480286737,0.4000000000000001,0.03898050974512743,0.037596329457882306,1.816847698866401
서초구,방배3동,0.08008711714468,0.08097551831128258,0.17809670340757183,0.14863355424826868,0.8876941457586619,0.4000000000000001,0.03898050974512743,0.021470889571918568,1.8144675486155926
성북구,월곡1동,0.08816674938773307,0.089262737347551,0.4158196080409615,0.3133517015414402,0.4683393070489844,0.4000000000000001,0.03898050974512743,0.018441801416544164,1.813920613111798
중구,소공동,0.09915533325071418,0.10009644401965284,0.3534189219865312,0.23665202174398692,0.6152927120669055,0.4000000000000001,0.008995502248875561,0.017862711033899057,1.8136109353166663
강동구,둔촌2동,0.16350799934934865,0.16454054269025575,0.3452215804474488,0.4295182068657384,0.26881720430107525,0.4000000000000001,0.03898050974512743,0.04467905029177246,1.8105860433989944
강남구,역삼1동,0.12101422161025446,0.12217555911915998,0.3743788937372311,0.32817037754114237,0.4253285543608124,0.4000000000000001,0.03898050974512743,0.05180631653971223,1.8100481161137278
중구,신당5동,0.12315412352276073,0.12430950020997117,0.29016066789416606,0.05376424156675851,0.7789725209080048,0.4000000000000001,0.03898050974512743,0.025123613523987703,1.809341563846789
양천구,신월6동,0.25480693661887494,0.2566584433510721,0.461749943249174,0.32191525802368015,0.4982078853046594,0.0,0.014992503748125937,0.032963606396721454,1.8083309702955865
서초구,내곡동,0.08388690491641633,0.08507682657763133,0.22029409539183295,0.1140814654851441,0.8637992831541218,0.4000000000000001,0.03898050974512743,0.0037863601942180053,1.806119085270274
서초구,방배본동,0.1121443568935016,0.11336997662466458,0.27399298812016043,0.19867451038796635,0.6666666666666665,0.4000000000000001,0.03898050974512743,0.04334268787028375,1.803829008438087
금천구,시흥3동,0.10393200785609064,0.10492267186521442,0.3453729159835549,0.16933502122272695,0.6403823178016727,0.4000000000000001,0.03898050974512743,0.04196178003474542,1.802925444474387
강북구,번1동,0.09529213101353087,0.0963227974813759,0.27724670214644237,0.18489835430784124,0.7084826762246116,0.4000000000000001,0.03898050974512743,0.4324023341796962,1.8012231709189297
강남구,도곡2동,0.12354249071297918,0.12481122782564436,0.3788432920523621,0.23024797080944226,0.5041816009557943,0.4000000000000001,0.03898050974512743,0.06053721769343846,1.8006070921013497
금천구,시흥5동,0.07847376991461062,0.0792738529960057,0.27820516054178124,0.12979372998734084,0.7956989247311829,0.4000000000000001,0.03898050974512743,0.05902267361575125,1.8004259479160487
서초구,반포4동,0.17614474462773644,0.17808922409640746,0.35218301510833105,0.38573237024350293,0.26881720430107525,0.4000000000000001,0.03898050974512743,0.04160541672234843,1.7999470681221807
강남구,대치4동,0.11976639858580257,0.12121488810863265,0.37674981713622724,0.22659915109092263,0.5125448028673836,0.4000000000000001,0.03898050974512743,0.06962448215956167,1.7958555675340964
은평구,신사1동,0.07710535365595864,0.07786189178219552,0.3349559865815825,0.1594310819867451,0.7060931899641577,0.4000000000000001,0.03898050974512743,0.02231725243886142,1.7944280137157669
송파구,송파1동,0.10282731045628557,0.10426750932914289,0.28882387065856185,0.17812197483059053,0.6810035842293906,0.4000000000000001,0.03898050974512743,0.026816339257873398,1.794024759249099
관악구,신사동,0.11924951277116919,0.12054484639210294,0.3191162004691402,0.16948395263980937,0.6248506571087215,0.4000000000000001,0.03898050974512743,0.04641632143970778,1.792225679126071
동대문구,장안1동,0.10036778420856557,0.10152064195956398,0.3878982016293793,0.30895822473750845,0.4540023894862605,0.4000000000000001,0.03898050974512743,0.05407813265624303,1.7917277517664054
송파구,거여1동,0.2636897144562564,0.2637870809314048,0.04996594950437612,0.06411497505398764,0.7108721624850657,0.4000000000000001,0.03898050974512743,0.0061027217247984315,1.7914103921762183
