자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,SCORE
은평구,응암3동,0.16350799934934865,0.16454054269025575,0.3452215804474488,0.4295182068657384,0.26881720430107525,0.4000000000000001,0.03898050974512743,1.8105860433989944
금천구,독산3동,0.12101422161025446,0.12217555911915998,0.3743788937372311,0.32817037754114237,0.4253285543608124,0.4000000000000001,0.03898050974512743,1.8100481161137278
양천구,신정4동,0.12315412352276073,0.12430950020997117,0.29016066789416606,0.05376424156675851,0.7789725209080048,0.4000000000000001,0.03898050974512743,1.809341563846789
강서구,공항동,0.25480693661887494,0.2566584433510721,0.461749943249174,0.32191525802368015,0.4982078853046594,0.0,0.014992503748125937,1.8083309702955865
성동구,금호1가동,0.08388690491641633,0.08507682657763133,0.22029409539183295,0.1140814654851441,0.8637992831541218,0.4000000000000001,0.03898050974512743,1.806119085270274
강북구,수유1동,0.1121443568935016,0.11336997662466458,0.27399298812016043,0.19867451038796635,0.6666666666666665,0.4000000000000001,0.03898050974512743,1.803829008438087
양천구,목4동,0.10393200785609064,0.10492267186521442,0.3453729159835549,0.16933502122272695,0.6403823178016727,0.4000000000000001,0.03898050974512743,1.802925444474387
서대문구,신촌동,0.09529213101353087,0.0963227974813759,0.27724670214644237,0.18489835430784124,0.7084826762246116,0.4000000000000001,0.03898050974512743,1.8012231709189297
광진구,자양1동,0.12354249071297918,0.12481122782564436,0.3788432920523621,0.23024797080944226,0.5041816009557943,0.4000000000000001,0.03898050974512743,1.8006070921013497
양천구,신월1동,0.07847376991461062,0.0792738529960057,0.27820516054178124,0.12979372998734084,0.7956989247311829,0.4000000000000001,0.03898050974512743,1.8004259479160487
성북구,동선동,0.17614474462773644,0.17808922409640746,0.35218301510833105,0.38573237024350293,0.26881720430107525,0.4000000000000001,0.03898050974512743,1.7999470681221807
광진구,구의2동,0.11976639858580257,0.12121488810863265,0.37674981713622724,0.22659915109092263,0.5125448028673836,0.4000000000000001,0.03898050974512743,1.7958555675340964
강서구,등촌2동,0.07710535365595864,0.07786189178219552,0.3349559865815825,0.1594310819867451,0.7060931899641577,0.4000000000000001,0.03898050974512743,1.7944280137157669
마포구,망원2동,0.10282731045628557,0.10426750932914289,0.28882387065856185,0.17812197483059053,0.6810035842293906,0.4000000000000001,0.03898050974512743,1.794024759249099
서대문구,홍제3동,0.11924951277116919,0.12054484639210294,0.3191162004691402,0.16948395263980937,0.6248506571087215,0.4000000000000001,0.03898050974512743,1.792225679126071
관악구,난곡동,0.10036778420856557,0.10152064195956398,0.3878982016293793,0.30895822473750845,0.4540023894862605,0.4000000000000001,0.03898050974512743,1.7917277517664054
광진구,화양동,0.2636897144562564,0.2637870809314048,0.04996594950437612,0.06411497505398764,0.7108721624850657,0.4000000000000001,0.03898050974512743,1.7914103921762183
광진구,광장동,0.24506218210370828,0.24738114805394146,0.3880243145761344,0.11132623426911907,0.7825567502986855,0.0,0.016491754122938528,1.7908423834245273
도봉구,쌍문3동,0.06924766418972629,0.06986478901119422,0.2383786919565163,0.09174175292277906,0.8805256869772998,0.4000000000000001,0.03898050974512743,1.7887390948026434
구로구,오류2동,0.12532695319971066,0.12742540168445818,0.19113678210205062,0.026435326532131955,0.8781362007168457,0.4000000000000001,0.03898050974512743,1.7874411739803246
성북구,월곡1동,0.16162033766757825,0.16306871028470907,0.31321411456100084,0.2800655298235163,0.4301075268817204,0.4000000000000001,0.03898050974512743,1.7870567289636525
강남구,일원본동,0.15620309425102372,0.15747396920784032,0.4031578681867481,0.34328691637500935,0.28793309438470727,0.4000000000000001,0.03898050974512743,1.7870354521504563
관악구,낙성대동,0.15809429299765754,0.16010801964409344,0.45362826947814466,0.47174026360860827,0.10394265232974909,0.4000000000000001,0.03898050974512743,1.7864940078033806
성동구,성수2가1동,0.3028642085017494,0.302004386279619,0.193785153983908,0.15526100230843698,0.3930704898446833,0.4000000000000001,0.03898050974512743,1.785965750663524
구로구,구로1동,0.08814845617932766,0.08893650196825456,0.3287007844225288,0.13522972671084965,0.7037037037037036,0.4000000000000001,0.03898050974512743,1.783699682729792
동대문구,용신동,0.10065639904692417,0.10253189464734119,0.25840542790122834,0.18095167175515675,0.7013142174432495,0.4000000000000001,0.03898050974512743,1.7828401205390276
