No,호선,역명,도로명주소,지번주소,경도,위도,상태
88,3,학여울,서울특별시 강남구 남부순환로 지하3104(대치동),서울특별시 강남구 대치동 514-3 학여울역(3호선),127.0717194,37.49671722,정좌표
89,3,대청,서울특별시 강남구 일원로 지하2(일원동),서울특별시 강남구 일원동 700-9 대청역(3호선),127.0794941,37.49372225,정좌표
90,3,일원,서울특별시 강남구 일원로 지하121(일원동),서울특별시 강남구 일원동 717 일원역(3호선),127.0844515,37.48407269,정좌표
91,3,수서,서울특별시 강남구 광평로 지하270(수서동),서울특별시 강남구 수서동 728 수서역(3호선),127.1018599,37.48738989,정좌표
92,3,가락시장,서울특별시 송파구 송파대로 지하257(가락동),서울특별시 송파구 가락동 184-23 가락시장역(3호선),127.118486,37.49274359,정좌표
93,3,경찰병원,서울특별시 송파구 중대로 지하149(가락동),서울특별시 송파구 가락동 10-15 경찰병원역(3호선),127.1240671,37.49560195,정좌표
94,3,오금,서울특별시 송파구 오금로 지하321(오금동),서울특별시 송파구 오금동 44-2 오금역(3호선),127.1278796,37.50226607,정좌표
95,4,당고개,서울특별시 노원구 상계로 305(상계동),서울특별시 노원구 상계동 111 당고개역(4호선),127.0790107,37.67029223,정좌표
96,4,상계,서울특별시 노원구 상계로 182(상계동),서울특별시 노원구 상계동 156-203 상계역(4호선),127.0735756,37.66090333,정좌표
97,4,노원,서울특별시 노원구 상계로 69-1(상계동),서울특별시 노원구 상계동 602-5 노원역(4호선),127.0630302,37.65626792,정좌표
98,4,창동,서울특별시 도봉구 마들로11길 77(창동),서울특별시 도봉구 창동 135-1 창동역(4호선),127.0477154,37.65321776,정좌표
99,4,쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),서울특별시 도봉구 창동 703-4 쌍문역(4호선),127.0348798,37.64884829,정좌표
100,4,수유(강북구청),서울특별시 강북구 도봉로 지하338(수유동),서울특별시 강북구 수유동 140 수유역(4호선),127.0253567,37.63774528,정좌표
101,4,미아(서울사이버대학),서울특별시 강북구 도봉로 지하198(미아동),서울특별시 강북구 미아동 194-1 미아역(4호선),127.0261029,37.62644324,정좌표
102,4,미아사거리 ,서울특별시 강북구 도봉로 지하50(미아동),서울특별시 강북구 미아동 66-1 미아사거리역(4호선),127.0300983,37.61328612,정좌표
103,4,길음,서울특별시 성북구 동소문로 지하248(길음동),서울특별시 성북구 길음동 877-66 길음역(4호선),127.0236428,37.60294889,정좌표
104,4,성신여대입구(돈암),서울특별시 성북구 동소문로 지하102(동선동4가),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),127.0164776,37.59271762,정좌표
105,4,한성대입구(삼선교),서울특별시 성북구 삼선교로 지하1(삼선동1가),서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),127.0059504,37.58839499,정좌표
106,4,혜화,서울특별시 종로구 대학로 지하120(명륜4가),서울특별시 종로구 명륜4가 96-5 혜화역(4호선),127.0022907,37.58187298,정좌표
107,4,동대문,서울특별시 종로구 율곡로 지하308(종로6가),서울특별시 종로구 종로6가 287-1 동대문역(4호선),127.0095464,37.57041119,정좌표
108,4,동대문역사문화공원(DDP),서울특별시 중구 장충단로 지하230(광희동2가),서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),127.007551,37.56507934,정좌표
109,4,충무로,서울특별시 중구 퇴계로 지하214(필동2가),서울특별시 중구 필동2가 16-2 충무로역(4호선),126.9942074,37.561289,정좌표
110,4,명동,서울특별시 중구 퇴계로 지하126(충무로2가),서울특별시 중구 충무로2가 109-2 명동역(4호선),126.9859474,37.56090973,정좌표
111,4,회현(남대문시장),서울특별시 중구 퇴계로 지하54(남창동),서울특별시 중구 남창동 64-1 회현역(4호선),126.9782391,37.55853467,정좌표
112,4,서울,서울특별시 용산구 한강대로 지하392(동자동),서울특별시 용산구 동자동 14-151 서울역 (4호선),126.9728052,37.55319934,정좌표
113,4,숙대입구(갈월),서울특별시 용산구 한강대로 지하306(갈월동),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),126.9718767,37.5452013,정좌표
114,4,삼각지,서울특별시 용산구 한강대로 지하180(한강로1가),서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),126.9733501,37.53438717,정좌표
115,4,신용산,서울특별시 용산구 한강대로 지하112(한강로2가),서울특별시 용산구 한강로2가 181 신용산역(4호선),126.9682157,37.52961521,정좌표
116,4,이촌(국립중앙박물관),서울특별시 용산구 서빙고로 지하83(용산동5가),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),126.9736832,37.52252018,정좌표
117,4,동작(현충원),서울특별시 동작구 현충로 257(동작동),서울특별시 동작구 동작동 327-1 동작역(4호선),126.9802686,37.50287042,정좌표
118,4,총신대입구(이수),서울특별시 동작구 동작대로 지하117(사당동),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),126.9822002,37.48755366,정좌표
119,4,사당,서울특별시 동작구  동작대로 지하3(사당동),서울특별시 동작구 사당동 588-44 사당역(4호선),126.9815953,37.47686304,정좌표
120,4,남태령,서울특별시 서초구 과천대로 지하816(방배동),서울특별시 서초구 방배동 2909 남태령역(4호선),126.9886567,37.4648573,정좌표
121,5,방화,서울특별시 강서구 금낭화로 지하132(방화동),서울특별시 강서구 방화동 829-15 방화역(5호선),126.812632,37.57700687,정좌표
122,5,개화산,서울특별시 강서구 양천로 22(방화동),서울특별시 강서구 방화동 846 개화산역(5호선),126.8060013,37.57226877,정좌표
123,5,김포공항,서울특별시 강서구 하늘길 지하77(방화동),서울특별시 강서구 방화동 886 김포공항역(5호선),126.8015704,37.56214422,정좌표
124,5,송정,서울특별시 강서구 공항대로 지하33(공항동),서울특별시 강서구 공항동 29-5 송정역(5호선),126.8110544,37.56147545,정좌표
125,5,마곡,서울특별시 강서구 공항대로 지하163(마곡동),서울특별시 강서구 마곡동 769-3 마곡역(5호선),126.8255482,37.56019811,정좌표
126,5,발산,서울특별시 강서구 공항대로 지하267(마곡동),서울특별시 강서구 마곡동 727-1496 발산역(5호선),126.8373098,37.55902771,정좌표
127,5,우장산,서울특별시 강서구 강서로 지하262(화곡동),서울특별시 강서구 화곡동 1089-3 우장산역(5호선),126.8364087,37.54899972,정좌표
128,5,화곡,서울특별시 강서구 화곡로 지하168(화곡동),서울특별시 강서구 화곡동 1089-54 화곡역(5호선),126.8404949,37.54143095,정좌표
129,5,까치산,서울특별시 강서구 강서로 지하54(화곡동),서울특별시 강서구 화곡동 662-5 까치산역(5호선),126.8466116,37.53195693,정좌표
130,5,신정(은행정),서울특별시 양천구 오목로 지하179(신정동),서울특별시 양천구 신정동 1090 신정역(5호선),126.8572621,37.52543103,정좌표
131,5,목동,서울특별시 양천구 오목로 지하245(목동),서울특별시 양천구 목동 926-3 목동역(5호선),126.8647321,37.52618126,정좌표
132,5,오목교(목동운동장앞),서울특별시 양천구 오목로 지하342(목동),서울특별시 양천구 목동 406-30 오목교역(5호선),126.8753606,37.52446122,정좌표
133,5,양평,서울특별시 영등포구 양산로 지하21(양평동2가),서울특별시 영등포구 양평동2가 33-79 양평역(5호선),126.8868657,37.52551182,정좌표
134,5,영등포구청,서울특별시 영등포구 양산로 지하116(당산동3가),서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),126.895289,37.52422693,정좌표
135,5,영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가),서울특별시 영등포구 영등포동5가 62-1 영등포시장역(5호선),126.9049592,37.52273474,정좌표
136,5,신길,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),서울특별시 영등포구 영등포동1가 35 신길역(5호선),126.9143351,37.51766527,정좌표
137,5,여의도,서울특별시 영등포구 여의나루로 지하40(여의도동),서울특별시 영등포구 여의도동 3 여의도역(5호선),126.9244846,37.52184218,정좌표
138,5,여의나루,서울특별시 영등포구 여의동로 지하343(여의도동),서울특별시 영등포구 여의도동 84-4 여의나루역(5호선),126.9328645,37.52708586,정좌표
139,5,마포,서울특별시 마포구 마포대로 지하33(도화동),서울특별시 마포구 도화동 160 마포역(5호선),126.945448,37.53998535,정좌표
140,5,공덕,서울특별시 마포구 마포대로 지하100(공덕동),서울특별시 마포구 공덕동 423-29 공덕역(5호선),126.9513638,37.5445264,정좌표
141,5,애오개,서울특별시 마포구 마포대로 지하210(아현동),서울특별시 마포구 아현동 612 애오개역(5호선),126.956613,37.55336253,정좌표
142,5,충정로(경기대입구),서울특별시 서대문구 충정로 지하 28-1(충정로3가),서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),126.9633731,37.56099298,정좌표
143,5,서대문,서울특별시 종로구 통일로 지하126(평동),서울특별시 종로구 평동 210 서대문역(5호선),126.9666375,37.56585585,정좌표
144,5,광화문(세종문화회관),서울특별시 종로구 세종대로 지하172(세종로),서울특별시 종로구 세종로 1-68 5호선 광화문역(5호선),126.9767882,37.57162257,정좌표
