기간,자치구,동,계,20~24세,25~29세,30~34세,35~39세
2021,은평구,신사2동,20254,1289,1584,1332,1408.5
2021,은평구,증산동,14906.5,910,1132,1013,963
2021,은평구,수색동,11781,691.5,868.5,866,968.5
2021,은평구,진관동,55655.5,3332.5,3629.5,3108,3510
2021,은평구,불광2동,27625,1764.5,2486,2008.5,1786
2021,은평구,응암3동,24400,1521,2040,1672,1644.5
2021,은평구,역촌동,45387,2810,3645.5,3109,3336.5
2021,서대문구,천연동,17103,1020.5,1164,1067,1278.5
2021,서대문구,홍제1동,23637,1434,1637.5,1632,1711
2021,서대문구,홍제3동,15273,993,1070.5,1019,915
2021,서대문구,홍제2동,13766.5,824,950,962.5,910.5
2021,서대문구,홍은1동,22500,1389.5,1432.5,1401.5,1571
2021,서대문구,홍은2동,26221.5,1906,2217,1780,1666
2021,서대문구,남가좌1동,15403,690.5,788,843.5,1502.5
2021,서대문구,남가좌2동,29490,2070.5,2175.5,1987,2495
2021,서대문구,북가좌1동,18024.5,998.5,1100.5,1066.5,1260
2021,서대문구,북가좌2동,31696.5,1999,2660,2096.5,2086
2021,서대문구,충현동,20135.5,1336,2021.5,1690,1593
2021,서대문구,북아현동,16014,991,1261.5,1305.5,1534
2021,서대문구,신촌동,18917,3249,4261,2163,1178
2021,서대문구,연희동,34963,3115,4449,3011,2499
2021,마포구,용강동,21448.5,899,1287,1614.5,2066.5
2021,마포구,대흥동,14034,1516.5,1928.5,1294.5,1085.5
2021,마포구,염리동,14090.5,937.5,1185.5,1069,1178.5
2021,마포구,신수동,22552.5,1614,1773,1744.5,1882
2021,마포구,서교동,24458.5,2298,3879,3052.5,2258.5
2021,마포구,합정동,17184,1099,2153.5,1981,1643
2021,마포구,망원1동,20093.5,1261.5,2119,1957,1856
2021,마포구,망원2동,18625,1199.5,1637.5,1423,1473
2021,마포구,연남동,14948,1108.5,2058,1663.5,1378.5
2021,마포구,성산1동,18853,1229,1871,1710.5,1600.5
2021,마포구,성산2동,39544.5,2793,3884,3505.5,3104.5
2021,마포구,상암동,30825,2033,2247,1770,2070
2021,마포구,도화동,21062.5,1225,1694.5,1745.5,1803.5
2021,마포구,서강동,24434,2150,2632,1978,2122
2021,마포구,공덕동,37122,2456.5,3833,3409,3062
2021,마포구,아현동,24944,1317.5,1766,2163.5,2767.5
2021,양천구,목1동,30946,1879.5,1411,1166.5,1966
2021,양천구,목2동,29829,1927,2948,2774.5,2449.5
2021,양천구,목3동,21834.5,1380.5,2051,2072.5,1854
2021,양천구,목4동,25458,2145.5,1958,1384.5,1366
2021,양천구,신월1동,20379,1111.5,1500.5,1344.5,1342
2021,양천구,신월2동,20835,1203.5,1421.5,1307.5,1590
2021,양천구,신월3동,15231,852.5,1135,1006.5,954.5
2021,양천구,신월4동,18011,1014,1109.5,1026,1354
2021,양천구,신월5동,14658,893,1216.5,1000.5,1048.5
2021,양천구,신월6동,13681.5,741,842.5,1115.5,1427.5
2021,양천구,신월7동,19916,1136,1414.5,1261,1320
2021,양천구,신정1동,20480,1293.5,1098.5,763,1213.5
2021,양천구,신정2동,19583.5,1330,1127,756.5,989
2021,양천구,신정3동,47639,3083,2922,2735,3149.5
2021,양천구,신정6동,24621,1642,1432.5,1159.5,1525.5
2021,양천구,신정7동,29142.5,1796.5,1668.5,1414,1675.5
2021,양천구,목5동,41394.5,2410.5,1935,1563.5,2240.5
2021,양천구,신정4동,32758.5,2166,3081.5,2437.5,2499
2021,강서구,염창동,41437,2342,3141,3481.5,3748
2021,강서구,등촌1동,23984,1519,3487,3532.5,2506.5
2021,강서구,등촌2동,20544.5,1237.5,1952.5,1793,1664.5
2021,강서구,등촌3동,30751,1752.5,2191.5,2387.5,2192
2021,강서구,화곡본동,34033,2151.5,3804.5,3258.5,3060
2021,강서구,화곡2동,17944,1055,1522.5,1368,1499
2021,강서구,화곡3동,21464,1309,1879,1581.5,1564
2021,강서구,화곡4동,20634,1162,1725,1608.5,1671
2021,강서구,화곡6동,24620,1574,2751,2284,1907.5
2021,강서구,화곡8동,24530.5,1481,2366.5,2085,2005.5
2021,강서구,가양1동,33877.5,2485,5799.5,5047.5,3403
2021,강서구,가양2동,14101.5,584.5,1040,1314,1019.5
2021,강서구,가양3동,15093,623,1093,1676.5,1385.5
2021,강서구,발산1동,36626.5,2435.5,2127,1761,2443.5
2021,강서구,공항동,28541,1570.5,2310,2399.5,2881
2021,강서구,방화1동,43288.5,2211,2919,2791.5,3480.5
2021,강서구,방화2동,22859,1242.5,2065,1949,1648.5
2021,강서구,방화3동,22904,956,1492.5,1738,1888.5
